Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
5094658001,GCF1897,NY,PAS,12/10/2016,7,4DSD,HONDA,V,0,13610,0,0,,0,0,0,,,0118P,,QN,,,QUEENS BLVD (W/B) @,BROADWAY,0,1111,D,T,,,,GY,,2013,,0,,FAILURE TO STOP AT RED LIGHT,,,
8551204051,GNN9248,NY,PAS,05/04/2017,21,SUBN,NISSA,T,77930,40930,18630,20180508,70,70,70,354029,T302,J,1244P,,K,O,26,Snyder Ave,,0,408,d1,,Y  Y,1130A,0100P,GY,,2001,,0,R,21-No Parking (street clean),,,
5095799807,VES 2440.00,VA,PAS,03/29/2017,7,VAN,HONDA,V,0,0,0,0,,0,0,0,,,0717A,,QN,,,HILLSIDE AVE (W/B) @,188TH ST,0,1111,D,T,,,,GRY,,0,,0,,FAILURE TO STOP AT RED LIGHT,,,
4625674141,BGR3063,NY,PAS,10/24/2016,36,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,1213P,,QN,,,EB UNION TRPK @ CROS,S ISLAND PKWY,0,1180,B,T,,,,BR,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4631263763,92814,NY,MED,03/03/2017,36,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,1142A,,BK,,,SB OCEAN PKWY @ KING,S HWY,0,1180,B,T,,,,BK,,2009,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7000296318,D49HND,NJ,PAS,03/22/2017,37,SUBN,TOYOT,T,8140,0,0,88888888,114,114,114,355088,T401,J,0122P,1259P,Q,I,W,31st St,75ft S/of Astoria Bl,20170322,408,h1,,Y,0900A,0700P,BLACK,,0,423-3123,0,48-P,37-Expired Muni Meter,,,
7924516268,34555MD,NY,COM,11/09/2016,47,REFG,ISUZU,T,25390,17590,17610,20170430,13,13,13,346181,T501,A,1117A,,NY,F,120,Madison Ave,,0,408,l2,,Y,0700A,0700P,ORANG,,2013,,0,01 6,47-Double PKG-Midtown,,,
8513268173,HAT7232,NY,PAS,05/27/2017,38,SUBN,HYUND,T,35170,15710,13610,20170823,20,20,20,363953,T103,J,0942A,,NY,O,155,W 70th St,,0,408,h1,,Y,0900A,0700P,BK,,2013,,0,C,38-Failure to Display Muni Rec,,,
8503265503,23800TC,NY,TRC,03/28/2017,14,TRAC,KENWO,T,33390,12510,13210,20170531,6,6,6,362533,T105,M,1006A,,NY,O,744,Washington St,,0,408,c,,YYYYYYY,,,RED,,2001,,0,J,14-No Standing,,,
8475489709,HFM9768,NY,PAS,04/05/2017,37,SUBN,TOYOT,T,0,40404,40404,20180331,109,109,109,353991,T401,U,1212P,1206P,Q,I,,Flushing Lot #2,,0,408,h1,,Y,0800A,1000P,GY,,2016,481-3001,0,50-A,37-Expired Muni Meter,,,
8537807813,HNF6718,NY,PAS,04/21/2017,14,SUBN,CHEVR,T,61830,0,0,20190331,84,84,84,355074,T301,A,0349P,,K,I,S,Montague St,7ft W/of Court St,0,408,c,,YYYYYYY,,,GY,,2017,,0,1,14-No Standing,,,
1412956201,GNR5598,NY,PAS,07/20/2016,21,SDN,BMW,S,17330,40404,40404,20180311,69,69,0,980319,KS18,0,1114A,,K,F,103,22 AVE,,0,408,D1,,BBYBBBB,1100A,1230P,GRAY,0,2013,-,0,,,,,
4624182546,FHD2704,NY,PAS,09/27/2016,36,4DSD,NISSA,V,0,40404,40404,0,,0,0,0,,,0234P,,BK,,,SB KNAPP ST @ AVE V,,0,1180,B,T,,,,GY,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4626772705,HAM6678,NY,PAS,11/14/2016,36,4DSD,KIA,V,0,0,0,0,,0,0,0,,,0200P,,BX,,,NB SOUTHERN BLVD @ E,187TH ST,0,1180,B,T,,,,GY,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7959796476,GPY8489,NY,PAS,10/06/2016,71,SUBN,ROVER,T,20815,35270,38470,20180520,122,122,122,362605,T303,X,0303P,,R,F,358,Buel Ave,,0,408,j6,,YYYYYYY,,,BK,,2006,,0,06-P,71A-Insp Sticker Expired (NYS),,,
8543005826,GXG5042,NY,PAS,05/23/2017,38,SUBN,HONDA,T,35580,0,0,20190514,70,70,70,361284,T302,N,1213P,,K,I,N,E 17th St,40ft E/of Avenue P,0,408,h1,,Y,0830A,0700P,BL,,2011,,0,4,38-Failure to Display Muni Rec,,,
8519703094,26684MA,NY,COM,02/23/2017,37,VAN,FRUEH,T,10010,18630,18650,20181031,19,19,19,362564,T103,R,0132P,0125P,NY,F,1588,1st Ave,,20170223,408,h1,,Y,0900A,0700P,WH,,2010,126-4899,0,10,37-Expired Muni Meter,,,
7970393330,HAT6686,NY,PAS,08/17/2016,21,4DSD,BMW,T,57320,28140,28170,20170824,47,47,47,358648,T202,N,0950A,,BX,F,3729,Paulding Ave,,0,408,d1,,Y,0930A,1100A,BL,,2009,,0,G 22,21-No Parking (street clean),,,
4630066822,FTV8624,NY,PAS,01/24/2017,36,4DSD,JAGUA,V,0,0,0,0,,0,0,0,,,1016A,,ST,,,NB TARGEE ST. DEKALB,ST- CLIFFSIDE AV,0,1180,B,T,,,,BK,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8077552250,AS299T,NJ,PAS,10/14/2016,69,DELV,INTER,T,10110,18820,18830,88888888,19,19,19,354164,T103,H,1101A,,NY,O,1774,2nd Ave,,0,408,h1,,YYYYY,1000A,0200P,WHITE,,0,,0,35 7,69-Failure to Disp Muni Recpt,,,
1416119292,TRW42B,NJ,PAS,10/09/2016,46,TLR,UTILI,P,34910,10810,10910,0,18,18,18,958699,18,0,1046P,,NY,F,315,W 57 STREET,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
8506603031,2383103,IN,PAS,02/01/2017,53,TRAC,VOLVO,T,30620,11510,24990,88880088,1,1,1,330198,T101,M,1132A,,NY,F,325,South End Ave,,0,408,f6,,YYYYYYY,,,WHITE,,0,,0,G,53-Safety Zone,,,
7216384532,T712744C,NY,OMT,03/07/2017,38,SUBN,HONDA,T,67030,48230,93830,20170930,71,71,71,364896,T302,I,1241P,,K,F,1217,Nostrand Ave,,0,408,h1,,YYYYY,1000A,0400P,BK,,2011,,0,16,38-Failure to Display Muni Rec,,,
8556051480,M322307,NJ,PAS,04/26/2017,21,PICK,CHEVR,T,7790,8540,8640,88880088,114,114,114,355558,T401,M,0737A,,Q,F,34-18,30th Ave,,0,408,d1,,Y,0730A,0800A,WHITE,,0,,0,H,21-No Parking (street clean),,,
8300067954,HBX2351,NY,PAS,12/07/2016,20,SUBN,ME/BE,T,31330,14380,73030,20171221,61,61,61,333042,T302,M,0117P,,K,O,1619,Dahill Rd,,0,408,d,,YYYYY,0700A,0400P,BK,,2005,,0,19 3,20A-No Parking (Non-COM),,,
5096723768,EDN2797,NY,PAS,06/02/2017,7,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0324P,,QN,,,WOODHAVEN BLVD (N/B),@ YELLOWSTONE BLVD,0,1111,D,T,,,,GY,,2008,,0,,FAILURE TO STOP AT RED LIGHT,,,
8519503676,FCX7311,NY,PAS,03/20/2017,14,SUBN,HONDA,T,15710,35350,35370,20180707,20,20,20,364888,T103,I,1215P,,NY,F,410,Columbus Ave,,0,408,c,,YYYYY,1000A,0400P,WH,,2007,,0,36,14-No Standing,,,
8475485066,GYR5020,NY,PAS,03/23/2017,21,SUBN,LEXUS,T,61390,54580,52390,20170616,109,109,109,341921,T401,L,0736A,,Q,F,136-05,Sanford Ave,,0,408,d1,,Y,0730A,0800A,GY,,2016,,0,Y,21-No Parking (street clean),,,
5092833786,HCS9434,NY,PAS,08/03/2016,7,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0609A,,BX,,,GRAND CONCOURSE (N/B,) @ E 162ND ST,0,1111,D,T,,,,WH,,2016,,0,,FAILURE TO STOP AT RED LIGHT,,,
7007488663,VFP7291,VA,PAS,03/02/2017,53,4DSD,ME/BE,T,5790,8590,8690,20170388,114,114,114,357763,T401,D,1102A,,Q,F,Mar-35,12th St,,0,408,f6,,,,,SILVE,,0,,0,25,53-Safety Zone,,,
8514752339,85562ME,NY,COM,03/28/2017,38,VAN,CHEVR,T,25390,18810,18820,20170430,19,19,19,356191,T103,X,0829A,,NY,F,1289,Madison Ave,,0,408,h1,,Y,0800A,0700P,WH,,2015,,0,1,38-Failure to Display Muni Rec,,,
8523502270,41990JX,NY,COM,03/03/2017,48,VAN,FORD,T,29620,22320,20220,20171130,48,48,48,361387,T201,A,0941A,,BX,F,708,E Tremont Ave,,0,408,e9,,YYYYYYY,,,WH,,2008,,0,7,48-Bike Lane,,,
8236558708,FLC9623,NY,PAS,01/23/2017,21,SUBN,DODGE,T,51090,21590,21640,20170623,102,102,102,355250,T402,A,0910A,,Q,O,124-15,Jamaica Ave,,0,408,d1,,Y,0900A,0930A,RD/,,1998,,0,35,21-No Parking (street clean),,,
4624017663,GFM1718,NY,PAS,09/26/2016,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0817A,,BK,,,EB SEAVIEW AVE @ E 1,00TH ST,0,1180,B,T,,,,GY,,2003,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7491184224,GAM6902,NY,PAS,04/07/2017,71,SUBN,FORD,T,26435,18440,18540,20180911,105,105,105,355205,T402,Y,1006A,,Q,F,92-20,212th Pl,,0,408,j6,,YYYYYYY,,,WHITE,,2016,,0,20,71A-Insp Sticker Expired (NYS),,,
1420029915,53468JZ,99,COM,04/27/2017,21,VAN,CHEVR,S,10690,14690,14840,20170531,108,108,0,598546,QW02,0,1255A,,Q,F,69-19,49 AV,,0,408,D1,,YBBYBBB,1208A,0300A,WHITE,0,2006,-,0,,,,,
1420730010,GFW3620,NY,PAS,06/10/2017,98,SUBN,CHEVR,P,19090,7990,8190,20170618,115,115,115,962674,115,0,0627A,,Q,F,31-44,98 ST,,0,408,K6,,BBBBBBB,ALL,ALL,BLACK,0,2008,-,0,,,,,
4634899851,HNB6369,NY,PAS,06/09/2017,36,4DSD,HONDA,V,0,0,0,0,,0,0,0,,,0850A,,BK,,,WB ATLANTIC AVE @ SH,EPHERD AVE,0,1180,B,T,,,,BK,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8555462198,HKT4222,NY,PAS,06/12/2017,14,SUBN,TOYOT,T,20490,0,0,20181116,110,110,110,341274,T401,L,0601A,,Q,I,E,111th St,2ft S/of 49th Ave,0,408,c,,YYYYYYY,,,GR,,2003,,0,K,14-No Standing,,,
8354508808,21239MG,NY,COM,09/09/2016,84,DELV,MI/F,T,34750,0,0,20170205,18,18,18,362222,T106,GP,0902A,,NY,I,S,W 49th St,30ft W/of 5th Ave,0,408,k7,,,,,WH,,2005,,0,09 6,84-Platform lifts in low posit,,,
8010068883,AT560J,NJ,PAS,01/25/2017,38,DELV,FRUEH,T,50750,12620,50020,20170088,43,43,43,364862,T201,K,0104P,,BX,F,1332,Metropolitan Ave,,0,408,h1,,Y,0830A,0700P,OTHER,,0,,0,14,38-Failure to Display Muni Rec,,,
8327051209,ATE9889,NY,PAS,12/20/2016,21,4DSD,ME/BE,T,93930,44930,51530,20180625,90,90,90,362231,T301,O,1206P,,K,F,182,Withers St,,0,408,d1,,Y,1130A,0100P,GY,,2015,,0,M 31,21-No Parking (street clean),,,
4633425286,HNF4110,NY,PAS,05/01/2017,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0238P,,BK,,,NB OCEAN PKWY @ BEVE,RLEY RD,0,1180,B,T,,,,WH,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8239540910,EWM9132,NY,PAS,11/11/2016,38,4DSD,HYUND,T,18140,0,0,20171209,103,103,103,361810,T402,B,1137A,,Q,I,N,90th Ave,35ft W/of 148th St,0,408,h1,,Y,0830A,0700P,WH,,2008,,0,17 4,38-Failure to Display Muni Rec,,,
8206527321,HCD4100,NY,PAS,11/01/2016,71,SUBN,CHEVR,T,8540,37290,8440,20171007,114,114,114,363928,T401,C,0852A,,Q,O,32-32,34th St,,0,408,j6,,YYYYYYY,,,GREY,,2016,,0,26 4,71A-Insp Sticker Expired (NYS),,,
8506469132,W43GFH,NJ,PAS,04/05/2017,38,4DSD,BMW,T,25020,10910,33390,88880088,6,6,6,363969,T105,D,0908P,,NY,F,17,Little West 12th St,,0,408,h1,,YYYYY,0400P,1100P,BLACK,,0,,0,2,38-Failure to Display Muni Rec,,,
7043255211,HJC9828,NY,PAS,03/10/2017,20,4DSD,HYUND,T,95030,60530,65830,20180905,90,90,90,345189,T730,B,0734A,,K,F,241,Wythe Ave,,0,408,d,,YYYYY,0700A,0600P,GY,,2005,,0,9,20A-No Parking (Non-COM),,,
4633215978,ESK4137,NY,PAS,05/01/2017,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0312P,,BK,,,WB LINDEN BLVD @ SCH,ENCK AVE,0,1180,B,T,,,,GY,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8550958402,HHU8104,NY,PAS,05/24/2017,38,SUBN,DODGE,T,8580,6380,6480,20180619,66,66,66,359320,T302,N,1105A,,K,F,1308,40th St,,0,408,h1,,YYYYY,0900A,0700P,GY,,2016,,0,47,38-Failure to Display Muni Rec,,,
8532821650,T696481C,NY,OMT,06/20/2017,21,4DSD,TOYOT,T,26030,18830,83730,20170630,75,75,75,350428,T301,M,0914A,,K,F,549,Chestnut St,,0,408,d1,,Y  Y,0800A,0930A,BK,,2017,,0,W,21-No Parking (street clean),,,
4627826096,HFF4505,NY,PAS,12/05/2016,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,1159A,,BK,,,WB ATLANTIC AVE @ SH,EPHERD AVE,0,1180,B,T,,,,WH,,0,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8507056830,20654ME,NY,COM,03/02/2017,38,VAN,CHEVR,T,21740,10610,12510,20180630,6,6,6,362543,T101,A,1013A,,NY,F,75,Greenwich Ave,,0,408,h1,,Y,0800A,0700P,WH,,2014,,0,8,38-Failure to Display Muni Rec,,,
1416903379,CRM6911,NY,PAS,12/16/2016,14,SDN,HYUND,P,12210,17050,17070,20171119,9,9,9,953464,9,0,1210A,,NY,F,41,AVENUE B,,0,408,K6,,BBBBYYY,1200A,0600A,GY,0,2010,-,0,,,,,
7807869367,HEE4014,NY,PAS,11/22/2016,21,SUBN,JEEP,T,15420,0,0,20180203,6,6,6,362533,T105,M,1129A,,NY,I,S,Clarkson St,70ft W/of Greenwich,0,408,d1,,Y  Y,1100A,1230A,GY,,2014,,0,L 99,21-No Parking (street clean),,,
4630601934,HHU7705,NY,PAS,02/06/2017,36,SUBN,TOYOT,V,0,0,0,0,,0,0,0,,,1223P,,BK,,,SB BOERUM PL @ SCHER,MERHORN ST,0,1180,B,T,,,,BK,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
7453993295,89661JV,NY,COM,08/06/2016,38,VAN,GMC,T,14810,35780,20190,88888888,112,112,112,361843,T402,G,0101P,,Q,F,107-40,70th Rd,,0,408,h1,,Y,0900A,0700P,WHITE,,2006,,0,08 4,38-Failure to Display Muni Rec,,,
7150327266,HWE6388,PA,PAS,08/05/2016,14,SUBN,SUBAR,T,34650,0,0,20170688,18,18,18,346143,T108,E,0645A,,NY,I,N,W 44th St,30ft W/of 11th Ave,0,408,c,,YYYYYYY,0600P,1000A,WHITE,,0,,0,02 8,14-No Standing,,,
4630990185,NYRR,NY,RGL,02/17/2017,36,4DSD,VOLVO,V,0,0,0,0,,0,0,0,,,0838A,,BX,,,WB E 135TH ST @ ALEX,ANDER AVE,0,1180,B,T,,,,WH,,1997,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4631977218,GPH8659,NY,PAS,03/21/2017,36,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0819A,,QN,,,SB SPRNGFLD BV. 91 R,D - 94 AV,0,1180,B,T,,,,BL,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4633052056,GAU8752,NY,PAS,04/27/2017,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,1005A,,BK,,,WB LINDEN BLVD @ ROC,KAWAY AVE,0,1180,B,T,,,,GY,,2003,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4623548065,GWE 6116.00,NY,PAS,09/19/2016,36,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,0913A,,BK,,,EB EASTERN PKWY @ WA,SHINGTON AVE,0,1180,B,T,,,,RD,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
1414783784,30182JF,NY,COM,11/25/2016,46,VAN,FRUEH,P,0,0,0,20161231,43,43,43,920400,43,0,0100P,,BX,,,C/O STORY AVE,LELAND AVE,0,408,E5,,BBBBBBB,ALL,ALL,WHITE,0,2001,-,0,,,,,
8173039823,JLN1340,PA,PAS,11/16/2016,21,SUBN,FORD,T,38190,0,0,20161188,69,69,69,361094,T302,I,1158A,,K,I,E,E 102nd St,50ft N/of Seaview Av,0,408,d1,,Y,1130A,0100P,WHITE,,0,,0,39 3,21-No Parking (street clean),,,
7238386082,HDV1381,NY,PAS,11/10/2016,38,4DSD,NISSA,T,5780,5230,5380,20180218,78,78,78,363060,T302,P,0529P,,K,F,210,7th Ave,,0,408,h1,,Y,0900A,0700P,BL,,2007,,0,59 3,38-Failure to Display Muni Rec,,,
8481615432,XDGW94,NJ,PAS,06/08/2017,42,DELV,NS/OT,T,17990,10210,10110,88880088,17,17,17,365316,T102,N,0434P,,NY,F,255,E 50th St,,0,408,h1,,Y,0700A,0700P,GREY,,0,143-3863,0,7,42-Exp. Muni-Mtr (Com. Mtr. Z),,,
8541357818,EFD2730,NY,PAS,06/17/2017,38,SUBN,HONDA,T,56450,21350,19400,20180214,120,120,120,362621,T303,E,1008A,,R,F,59,Wright St,,0,408,h1,,Y,0800A,0700P,BL,,2008,,0,07-P,38-Failure to Display Muni Rec,,,
8513583789,FLJ3099,NY,PAS,06/22/2017,21,2DSD,VOLKS,T,36030,11710,13610,20190602,26,26,26,363922,T103,B,1128A,,NY,F,535,W 113th St,,0,408,d1,,Y  Y,1100A,1230A,BK,,2001,,0,CC7,21-No Parking (street clean),,,
8419012245,GVM6317,NY,PAS,01/27/2017,70,4DSD,ME/BE,T,41320,27300,27330,20170113,48,48,48,363938,T201,B,0111P,,BX,F,2452,Hughes Ave,,0,408,j3,,YYYYYYY,,,GY,,2015,,0,8,70A-Reg. Sticker Expired (NYS),,,
4633747381,HPA3069,NY,PAS,05/12/2017,36,2DSD,MINI,V,0,0,0,0,,0,0,0,,,1121A,,QN,,,EB NORTHERN BV. 77 S,T - 81 ST,0,1180,B,T,,,,GR,,2005,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8358539046,GDV2141,NY,PAS,12/15/2016,38,4DSD,NISSA,T,5580,11130,11180,20181221,68,68,68,364831,T302,I,0304P,,K,F,9110,5th Ave,,0,408,h1,,Y,0830A,0700P,BK,,2017,,0,21 3,38-Failure to Display Muni Rec,,,
8487469012,27527ME,NY,COM,01/27/2017,74,DELV,INTER,T,37290,16740,16890,20170930,110,110,110,357733,T401,A,1006A,,Q,F,81-24,Broadway,,0,408,j2,,,,,WH,,2003,,0,45,74-Missing Display Plate,,,
8517821075,32295MA,NY,COM,06/27/2017,14,DELV,INTER,T,10110,18630,18650,20180430,19,19,19,363110,T103,CC,0856A,,NY,F,1585,2nd Ave,,0,408,c,,YYYYY,0700A,1000A,WH,,2012,,0,14,14-No Standing,,,
8515271692,22436JW,NY,COM,05/02/2017,40,DELV,MITSU,T,10010,18790,18810,20190131,19,19,19,354164,T103,H,1045A,,NY,F,1752,1st Ave,,0,408,e2,,YYYYYYY,,,BK,,2007,,0,56,40-Fire Hydrant,,,
8228552543,GEA2261,NY,PAS,04/27/2017,38,4DSD,LEXUS,T,54800,50290,11840,20181221,105,105,105,364834,T402,P,0550P,,Q,F,Dec-56,Marathon Pky,,0,408,h1,,Y,0900A,0700P,BK,,2007,,0,X,38-Failure to Display Muni Rec,,,
8498520046,HKF6916,NY,PAS,04/27/2017,14,SUBN,CHEVR,T,10110,17890,17910,20181017,17,17,17,349481,T506,F,0342P,,NY,O,853,2nd Ave,,0,408,c,,YYYYY,0300P,0700P,WH,,2016,,0,15,14-No Standing,,,
5093527853,GYM9809,NY,PAS,09/21/2016,7,4DSD,LEXUS,V,0,0,0,0,,0,0,0,,,1228P,,BK,,,NB OCEAN PKWY @ AVEN,UE I,0,1111,D,T,,,,BK,,2015,,0,,FAILURE TO STOP AT RED LIGHT,,,
8521262474,32353PC,NY,IRP,04/06/2017,46,REFG,UD,T,10110,18670,18690,20180331,19,19,19,363952,T103,GG,0936A,,NY,O,1627,2nd Ave,,0,408,F1,,YYYYYYY,,,WH,,2013,,0,1,46B-Double Parking (Com-100Ft),,,
7431960360,ECL2156,NY,PAS,07/19/2016,21,SUBN,TOYOT,T,14090,14740,38690,20170910,104,104,104,363116,T402,D,0850A,,Q,F,70-25,67th Pl,,0,408,d1,,Y,0830A,1000A,GY,,2011,,0,28 4,21-No Parking (street clean),,,
8437007306,HDE3721,NY,OMS,09/28/2016,38,VAN,FORD,T,10210,17310,17330,20170930,19,19,19,363524,T103,C,0630P,,NY,F,182,3rd Ave,,0,408,h1,,Y,0800A,0700P,GY,,2016,,0,16 7,38-Failure to Display Muni Rec,,,
4635192880,GGB4757,NY,PAS,06/16/2017,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1017A,,BK,,,EB FLATLANDS AVE @ E,LTON ST,0,1180,B,T,,,,WH,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8504915323,57011ME,NY,COM,04/06/2017,16,SUBN,FORD,T,32900,0,0,20180630,1,1,1,363962,T105,D,1242P,1207P,NY,I,N,Walker St,60ft E/of 6th Ave,0,408,k2,,YYYYY,0700A,0400P,WH,,2014,,0,40,16-No Std (Com Veh) Com Plate,,,
8271048004,PDB2482,NC,PAS,08/30/2016,21,SUBN,LINCO,T,47030,73190,70030,20160788,79,79,79,345162,T301,M,0909A,,K,F,676,Hancock St,,0,408,d1,,Y  Y,0900A,1030A,BLACK,,0,,0,A 31,21-No Parking (street clean),,,
8497566683,17596JE,NY,COM,06/16/2017,14,DELV,INTER,T,34750,0,0,88880088,18,18,18,363494,MTTF,H,0204P,,NY,I,N,W 49th St,200ft W/of 6th Ave,0,408,c,,YYYYYYY,0700A,1200A,RED,,1990,,0,19,14-No Standing,,,
8270548250,91028MJ,NY,COM,12/13/2016,14,DELV,FRUEH,T,18210,27790,24890,88888888,19,19,19,358635,T103,BB,1012A,,NY,F,125,E 61st St,,0,408,c,,Y,0700A,0700P,WHITE,,2017,,0,22 7,14-No Standing,,,
8141015345,FRJ7858,NY,PAS,07/22/2016,20,SUBN,HONDA,T,77150,64220,45120,20170922,43,43,43,358910,T202,R,0139P,,BX,F,731,White Plains Rd,,0,408,d,,YYYYY,0800A,0600P,RD,,2002,,0,Q 23,20A-No Parking (Non-COM),,,
8236569895,EPY9505,NY,PAS,03/22/2017,21,4DSD,BUICK,T,59990,14740,14810,20190224,112,112,112,355250,T402,A,0806A,,Q,F,107-16,Queens Blvd,,0,408,d1,,Y,0800A,0830A,GY,,0,,0,3,21-No Parking (street clean),,,
8059052214,36733JX,NY,COM,11/14/2016,21,VAN,GMC,T,18650,45590,19790,20170831,19,19,19,363922,T103,AA,0943A,,NY,F,509,E 83rd St,,0,408,d1,,Y  Y,0900A,1030A,WH,,2007,,0,CC7,21-No Parking (street clean),,,
7499844705,GGT7948,NY,PAS,08/22/2016,14,SUBN,SUBAR,T,57790,26390,26440,20170523,111,111,111,357323,T401,N,0419P,,Q,F,211-20,Northern Blvd,,0,408,c,,YYYYY,0400P,0700P,GREY,,2014,,0,Y 41,14-No Standing,,,
8302035312,T693044C,NY,OMT,11/03/2016,37,4DSD,LINCO,T,36090,10610,10810,20161031,28,28,28,356959,T103,M,0606P,0533P,NY,F,227,W 116th St,,0,408,h1,,Y,0830A,0700P,BK,,2011,128-3006,0,03 7,37-Expired Muni Meter,,,
8466533837,XANK50,NJ,PAS,04/29/2017,85,DELV,HIN,T,55090,11240,11110,20170001,104,104,104,352045,T803,BB,0254A,1124P,Q,F,Oct-60,Maurice Ave,,0,408,k5,,,,,WHITE,,0,,0,S,85-Storage-3 hour Commercial,,,
7085899554,GUZ4334,NY,PAS,10/13/2016,53,SUBN,ACURA,T,21690,25990,13610,20161212,1,1,1,358525,T105,H,1032A,,NY,F,107,Grand St,,0,408,f6,,,,,GREY,,2012,,0,24,53-Safety Zone,,,
1423536058,HCS2336,NY,PAS,01/27/2017,19,SUBN,TOYOT,P,74930,44530,63985,20171121,84,84,110,350318,T110,0,0721A,,K,F,234,SAND ST,,0,408,C,,YYYYYBB,ALL,ALL,GY,0,2015,-,0,,,,,
8529109661,GZM3633,NY,PAS,04/24/2017,38,SUBN,FORD,T,77150,28380,28410,20181231,47,47,47,364863,T201,F,0101P,,BX,F,3990,White Plains Rd,,0,408,h1,,Y,0900A,0700P,BK,,2017,,0,11,38-Failure to Display Muni Rec,,,
1422284335,HHJ5747,NY,PAS,06/03/2017,21,SUBN,CHEVR,S,37290,16740,16890,20180814,110,110,0,584089,QW04,0,0749A,,Q,F,Jan-81,BROADWAY,,0,408,D1,,BBBBBYB,0730A,0800A,WHITE,0,2012,-,0,,,,,
8518359399,25739MA,NY,COM,04/11/2017,37,VAN,CHEVR,T,24890,18670,18690,20180731,19,19,19,362192,T103,S,0244P,0224P,NY,O,1248,Lexington Ave,,20170411,408,h1,,YYYYY,1000A,0700P,WH,,2010,119-3019,0,1,37-Expired Muni Meter,,,
8527214490,GWG7018,NY,PAS,05/16/2017,70,SUBN,BMW,T,77150,28260,28290,20170511,47,47,47,363945,T201,D,1034A,,BX,F,3855,White Plains Rd,,0,408,j3,,YYYYYYY,,,BK,,2015,,0,18,70A-Reg. Sticker Expired (NYS),,,
1420512468,GJH8815,NY,PAS,04/08/2017,21,SUBN,NISSA,S,78050,53520,47520,20170718,49,49,0,582833,BX11,0,0841A,,BX,F,2027,WILLIAMSBRIDGE RD,,0,408,D1,,YYYYYYB,0830A,0900A,BLUE,0,2015,-,0,,,,,
8050574052,49731MA,NY,COM,12/30/2016,46,DELV,NS/OT,T,24890,18650,18670,20170131,19,19,19,358126,T103,E,0323P,,NY,O,1234,Lexington Ave,,0,408,F1,,,,,RED,,0,,0,CC1,46B-Double Parking (Com-100Ft),,,
4634991421,GMS3982,NY,PAS,06/13/2017,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0740A,,QN,,,EB UNION TRPK @ CROS,S ISLAND PKWY,0,1180,B,T,,,,GY,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8552003569,XJ275S,NJ,PAS,04/25/2017,14,PICK,GMC,T,34510,10410,10510,88880088,14,14,14,363141,T106,M,1254P,,NY,F,5,W 37th St,,0,408,c,,YYYYY,0700A,0600P,BLUE,,0,,0,35,14-No Standing,,,
